mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_epsilon,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
9.766496181488037,0.4684327629028714,1.4398984432220459,0.011170100573221087,1000000,50,scale,rbf,"{'C': 1000000, 'epsilon': 50, 'gamma': 'scale', 'kernel': 'rbf'}",0.6203067585812576,0.6076859289487966,0.6145319849321915,0.617546741819309,0.6030752724464978,0.6126293373456105,0.006363350911279137,1
31.26907835006714,0.5941399321522429,3.4809245586395265,0.05605378716607859,1000000,10,scale,rbf,"{'C': 1000000, 'epsilon': 10, 'gamma': 'scale', 'kernel': 'rbf'}",0.609955663545939,0.5903016161020975,0.6040543223205507,0.6083054941409474,0.5893027695572225,0.6003839731333513,0.008857609289029025,2
3.9789403915405273,0.18535886712450755,1.3975427627563477,0.03436122497529449,100000,50,scale,rbf,"{'C': 100000, 'epsilon': 50, 'gamma': 'scale', 'kernel': 'rbf'}",0.607267552175437,0.5959269235100073,0.6029054381989571,0.6052621100908996,0.5882941271069662,0.5999312302164534,0.006964803719057081,3
35.51086802482605,1.243658028325524,3.9668012142181395,0.03506092619768706,1000000,5,scale,rbf,"{'C': 1000000, 'epsilon': 5, 'gamma': 'scale', 'kernel': 'rbf'}",0.6075136304435391,0.5878153551639365,0.6018618113553433,0.6058499130157637,0.5869805457404713,0.5980042511438107,0.008856626420585123,4
38.04954380989075,1.8886274653237722,4.30379204750061,0.1695980961059417,1000000,1,scale,rbf,"{'C': 1000000, 'epsilon': 1, 'gamma': 'scale', 'kernel': 'rbf'}",0.6073806870319869,0.5870161150235056,0.6021558037277399,0.6052539773925739,0.5867075801243842,0.5977028326600381,0.00900678761281646,5
38.35811977386474,0.38081373367059584,4.550376319885254,0.050827452233656416,1000000,0.1,scale,rbf,"{'C': 1000000, 'epsilon': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}",0.6072710454085612,0.587403200057536,0.6020088458921538,0.6051910018621998,0.5866275492701083,0.5977003284981117,0.008887175318581299,6
38.96054744720459,0.5223167558530062,4.522243356704712,0.04351731129134918,1000000,0.5,scale,rbf,"{'C': 1000000, 'epsilon': 0.5, 'gamma': 'scale', 'kernel': 'rbf'}",0.6071994048434508,0.586954880858286,0.6023425581073847,0.605259963610288,0.5865080235334333,0.5976529661905685,0.009051540748963813,7
3.3308929443359374,0.15267107503975277,1.4407745361328126,0.07061365106972813,10000,50,scale,rbf,"{'C': 10000, 'epsilon': 50, 'gamma': 'scale', 'kernel': 'rbf'}",0.5887434470146422,0.5781777978744675,0.5865491578751932,0.5879606299685369,0.5707665916727596,0.5824395248811198,0.006950263387294937,8
10.738017272949218,0.5524474134882005,3.326446294784546,0.07782721997204264,100000,10,scale,rbf,"{'C': 100000, 'epsilon': 10, 'gamma': 'scale', 'kernel': 'rbf'}",0.5919391660720528,0.5711211709086204,0.5864755034539104,0.5888895316261336,0.5670557848857235,0.5810962313892881,0.010038698109555653,9
12.699106693267822,0.7975513311740562,3.7955700874328615,0.18572429968568085,100000,5,scale,rbf,"{'C': 100000, 'epsilon': 5, 'gamma': 'scale', 'kernel': 'rbf'}",0.5889828670261379,0.5677685898560788,0.5840738649596211,0.5858848404114907,0.5641737433073704,0.5781767811121398,0.010152603428005934,10
15.55955376625061,0.6140186678920889,4.63420934677124,0.04849328779184968,100000,1,scale,rbf,"{'C': 100000, 'epsilon': 1, 'gamma': 'scale', 'kernel': 'rbf'}",0.5877581047795124,0.566558782850518,0.5822692111595382,0.5845633506239276,0.5631926971748367,0.5768684293176666,0.010002797108783008,11
15.496781301498412,0.7598295579183313,4.6109381198883055,0.03969202205660082,100000,0.5,scale,rbf,"{'C': 100000, 'epsilon': 0.5, 'gamma': 'scale', 'kernel': 'rbf'}",0.5880771025851664,0.5661342566190535,0.5821919277619831,0.5843178930293487,0.5633025705970574,0.5768047501185218,0.010086656659617563,12
15.170699548721313,1.0917597430813164,4.490947246551514,0.036639658892370294,100000,0.1,scale,rbf,"{'C': 100000, 'epsilon': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}",0.5879161045099826,0.566149480775834,0.5822320296644343,0.5846458947818503,0.5630758437161019,0.5768038706896406,0.01016286122327774,13
3.64206600189209,0.062614089600547,1.530132246017456,0.03720055021734706,1000,50,scale,rbf,"{'C': 1000, 'epsilon': 50, 'gamma': 'scale', 'kernel': 'rbf'}",0.5650286989297093,0.5532369534437374,0.5651124326728627,0.5647475739891614,0.547201172062096,0.5590653662195133,0.007471885081167818,14
8.376448392868042,0.7071226351278034,3.51218318939209,0.13457799234785287,10000,10,scale,rbf,"{'C': 10000, 'epsilon': 10, 'gamma': 'scale', 'kernel': 'rbf'}",0.5686437842347547,0.5471192306341206,0.5644616642524909,0.5663009376940119,0.5459051862900937,0.5584861606210942,0.009873628656892895,15
10.29252347946167,0.26156546600544983,4.197102117538452,0.11016946882807975,10000,5,scale,rbf,"{'C': 10000, 'epsilon': 5, 'gamma': 'scale', 'kernel': 'rbf'}",0.5660040135827997,0.5438443469620808,0.5616084819162726,0.5638165258937521,0.5425194373916447,0.5555585611493099,0.01020925621129437,16
9.921998643875122,0.7188556490111256,4.419973421096802,0.10484632030492347,10000,0.1,scale,rbf,"{'C': 10000, 'epsilon': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}",0.565387695413295,0.5445742994228177,0.5613454130509121,0.5632057569004446,0.5426294524439919,0.5554285234462923,0.009760229984336224,17
